dataset,method,flip,n_queries,full_top1,full_top5,opp_top1,opp_top5,gap_to_80_top1
Zakynthos,MegaDescriptor,False,160,0.756250,0.987500,0.625000,0.950000,0.043750
Zakynthos,ALIKED,False,160,0.631250,0.718750,0.000000,0.006250,0.168750
Zakynthos,FusionCalibrated,False,80,0.837500,1.000000,0.612500,0.937500,-0.037500
Zakynthos,MD→ALIKED N=30,False,160,0.693750,0.825000,0.018750,0.181250,0.106250
Zakynthos,MegaDescriptor,True,160,0.762500,0.975000,0.612500,0.937500,0.037500
Zakynthos,ALIKED,True,160,0.318750,0.593750,0.318750,0.593750,0.481250
Zakynthos,FusionCalibrated,True,80,0.775000,0.987500,0.675000,0.950000,0.025000
Zakynthos,MD→ALIKED N=30,True,160,0.531250,0.806250,0.531250,0.806250,0.268750
ReunionGreen,MegaDescriptor,False,200,0.620000,0.830000,0.605000,0.810000,0.180000
ReunionGreen,ALIKED,False,200,0.655000,0.750000,0.000000,0.000000,0.145000
ReunionGreen,FusionCalibrated,False,100,0.730000,0.870000,0.500000,0.790000,0.070000
ReunionGreen,MD→ALIKED N=30,False,200,0.410000,0.510000,0.000000,0.080000,0.390000
ReunionGreen,MegaDescriptor,True,200,0.630000,0.840000,0.600000,0.805000,0.170000
ReunionGreen,ALIKED,True,200,0.625000,0.835000,0.625000,0.835000,0.175000
ReunionGreen,FusionCalibrated,True,100,0.740000,0.910000,0.740000,0.910000,0.060000
ReunionGreen,MD→ALIKED N=30,True,200,0.695000,0.850000,0.695000,0.850000,0.105000
