dataset,method,flip,shortlist_n,md_recall_at_n,full_top1,full_top5,opp_top1,md_top1
Amvrakikos,MD→XFeat N=5,False,5,0.78,0.27500000000000013,0.7950000000000006,0.09500000000000001,0.4900000000000003
Amvrakikos,MD→XFeat N=10,False,10,0.85,0.2200000000000001,0.6750000000000005,0.025,0.4900000000000003
Amvrakikos,MD→XFeat N=15,False,15,0.89,0.2100000000000001,0.5550000000000004,0.01,0.4900000000000003
Amvrakikos,MD→XFeat N=20,False,20,0.925,0.2200000000000001,0.5300000000000004,0.005,0.4900000000000003
Amvrakikos,MD→XFeat N=30,False,30,0.955,0.2150000000000001,0.4900000000000003,0.0,0.4900000000000003
Amvrakikos,MD→XFeat N=40,False,40,0.97,0.2100000000000001,0.4400000000000003,0.0,0.4900000000000003
Amvrakikos,MD→XFeat N=50,False,50,0.975,0.2000000000000001,0.41500000000000026,0.0,0.4900000000000003
Amvrakikos,MD→XFeat N=75,False,75,1.0,0.2100000000000001,0.40000000000000024,0.0,0.4900000000000003
Amvrakikos,MD→XFeat N=100,False,100,1.0,0.2100000000000001,0.3650000000000002,0.0,0.4900000000000003
Amvrakikos,MD→XFeat N=5,True,5,0.74,0.5850000000000004,0.7600000000000006,0.5800000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=10,True,10,0.86,0.6050000000000004,0.8100000000000006,0.6050000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=15,True,15,0.895,0.5850000000000004,0.7850000000000006,0.5800000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=20,True,20,0.92,0.5650000000000004,0.7950000000000006,0.5600000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=30,True,30,0.945,0.5650000000000004,0.7900000000000006,0.5600000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=40,True,40,0.97,0.5850000000000004,0.7900000000000006,0.5800000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=50,True,50,0.985,0.5800000000000004,0.8000000000000006,0.5750000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=75,True,75,0.99,0.5550000000000004,0.7750000000000006,0.5550000000000004,0.49500000000000033
Amvrakikos,MD→XFeat N=100,True,100,1.0,0.5500000000000004,0.7700000000000006,0.5500000000000004,0.49500000000000033
ReunionGreen,MD→XFeat N=5,False,5,0.83,0.30000000000000016,0.8300000000000006,0.16000000000000006,0.6200000000000004
ReunionGreen,MD→XFeat N=10,False,10,0.885,0.2600000000000001,0.7150000000000005,0.045,0.6200000000000004
ReunionGreen,MD→XFeat N=15,False,15,0.91,0.27000000000000013,0.5950000000000004,0.025,0.6200000000000004
ReunionGreen,MD→XFeat N=20,False,20,0.935,0.27500000000000013,0.5300000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=30,False,30,0.955,0.29000000000000015,0.49500000000000033,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=40,False,40,0.97,0.28500000000000014,0.4700000000000003,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=50,False,50,0.98,0.30000000000000016,0.4900000000000003,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=75,False,75,0.99,0.3250000000000002,0.5250000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=100,False,100,0.995,0.3450000000000002,0.5650000000000004,0.015,0.6200000000000004
ReunionGreen,MD→XFeat N=5,True,5,0.83,0.7350000000000005,0.8400000000000006,0.7350000000000005,0.6300000000000004
ReunionGreen,MD→XFeat N=10,True,10,0.88,0.7550000000000006,0.8550000000000006,0.7550000000000006,0.6300000000000004
