dataset,method,flip,shortlist_n,n_queries,full_top1,full_top5,opp_top1,gap_to_target_top1
Amvrakikos,MegaDescriptor,False,10,200,0.4900000000000003,0.7950000000000006,0.4350000000000003,0.3099999999999997
Amvrakikos,MD→XFeat N=10,False,10,200,0.2200000000000001,0.6750000000000005,0.025,0.58
Amvrakikos,MD→LoMa N=10,False,10,200,0.49500000000000033,0.8000000000000006,0.2600000000000001,0.3049999999999997
Amvrakikos,MegaDescriptor,True,10,200,0.49500000000000033,0.7600000000000006,0.4450000000000003,0.3049999999999997
Amvrakikos,MD→XFeat N=10,True,10,200,0.6050000000000004,0.8100000000000006,0.6050000000000004,0.19499999999999962
Amvrakikos,MD→LoMa N=10,True,10,200,0.6450000000000005,0.8200000000000006,0.6350000000000005,0.15499999999999958
ReunionGreen,MegaDescriptor,False,10,200,0.6200000000000004,0.8300000000000006,0.6050000000000004,0.1799999999999996
ReunionGreen,MD→XFeat N=10,False,10,200,0.2600000000000001,0.7150000000000005,0.045,0.5399999999999999
ReunionGreen,MD→LoMa N=10,False,10,200,0.41000000000000025,0.8350000000000006,0.22500000000000012,0.3899999999999998
ReunionGreen,MegaDescriptor,True,10,200,0.6300000000000004,0.8400000000000006,0.6000000000000004,0.1699999999999996
ReunionGreen,MD→XFeat N=10,True,10,200,0.7550000000000006,0.8550000000000006,0.7550000000000006,0.044999999999999485
ReunionGreen,MD→LoMa N=10,True,10,200,0.6500000000000005,0.8450000000000006,0.6400000000000005,0.14999999999999958
ReunionHawksbill,MegaDescriptor,False,10,136,0.6323529411764692,0.8823529411764683,0.6176470588235281,0.16764705882353081
ReunionHawksbill,MD→XFeat N=10,False,10,136,0.367647058823529,0.786764705882351,0.03676470588235294,0.43235294117647105
ReunionHawksbill,MD→LoMa N=10,False,10,136,0.41911764705882293,0.8235294117647038,0.16911764705882354,0.3808823529411771
ReunionHawksbill,MegaDescriptor,True,10,136,0.6176470588235281,0.8749999999999978,0.6102941176470575,0.18235294117647194
ReunionHawksbill,MD→XFeat N=10,True,10,136,0.786764705882351,0.8823529411764683,0.786764705882351,0.01323529411764901
ReunionHawksbill,MD→LoMa N=10,True,10,136,0.669117647058822,0.8823529411764683,0.669117647058822,0.130882352941178
